election_year,section,question,option_text,policy_key,dimension,affirmative_direction,coding_confidence,response_mode,coding_status,policy_family,normalized_option,ontology_version,item_id_v3,review_id,policy_key_v3,effects_json_v3,constituency_tags_json,response_mode_v3,mapping_authority_v3,mapped_effects_v3,score_eligible_v3
2014.0,Abortion & Reproductive Issues:,,a) Do you generally support pro-choice or pro-life legislation?,abortion_general_pro_life,abortion_position,1.0,high,binary,rule_mapped,abortion_reproductive,do you generally support pro-choice or pro-life legislation?,3.0.0,00EDB0606F2B3444,865B565A06CA705C,abortion_general_pro_life,"[{""axis"":""abortion_access"",""pole"":""restrict"",""strength"":""primary"",""rationale"":""legacy deterministic rule""}]",[],binary,legacy_deterministic_migrated,1,True
2014.0,Abortion & Reproductive Issues:,,b) Should abortions be illegal after the first trimester of pregnancy?,abortion_after_first_trimester_ban,abortion_position,1.0,medium,binary,rule_mapped,abortion_reproductive,should abortions be illegal after the first trimester of pregnancy?,3.0.0,2517223203542DA2,45EB64EEC30EF2F7,abortion_after_first_trimester_ban,"[{""axis"":""abortion_access"",""pole"":""restrict"",""strength"":""primary"",""rationale"":""legacy deterministic rule""}]",[],binary,legacy_deterministic_migrated,1,True
2014.0,Abortion & Reproductive Issues:,,c) Should abortion be legal when the pregnancy resulted from incest or rape?,abortion_rape_incest_exception,abortion_position,-1.0,medium,binary,rule_mapped,abortion_reproductive,should abortion be legal when the pregnancy resulted from incest or rape?,3.0.0,DD32F710BBA78CEE,5372597F48B74AAF,abortion_rape_incest_exception,"[{""axis"":""abortion_access"",""pole"":""expand"",""strength"":""primary"",""rationale"":""legacy deterministic rule""}]",[],binary,legacy_deterministic_migrated,1,True
2014.0,Abortion & Reproductive Issues:,,d) Should abortion be legal when the life of the woman is endangered?,abortion_life_exception,abortion_position,-1.0,medium,binary,rule_mapped,abortion_reproductive,should abortion be legal when the life of the woman is endangered?,3.0.0,32A611505BD336A3,6590D8C94F5FA124,abortion_life_exception,"[{""axis"":""abortion_access"",""pole"":""expand"",""strength"":""primary"",""rationale"":""legacy deterministic rule""}]",[],binary,legacy_deterministic_migrated,1,True
2014.0,Abortion & Reproductive Issues:,,e) Do you support requiring parental notification before an abortion is performed on a minor?,abortion_parental_notification,abortion_position,1.0,high,binary,rule_mapped,abortion_reproductive,do you support requiring parental notification before an abortion is performed on a minor?,3.0.0,E6706A275B778C5B,F88F91A45D0218B2,abortion_parental_notification,"[{""axis"":""abortion_access"",""pole"":""restrict"",""strength"":""primary"",""rationale"":""legacy deterministic rule""}]",[],binary,legacy_deterministic_migrated,1,True
2014.0,Abortion & Reproductive Issues:,,f) Do you support requiring parental consent before an abortion is performed on a minor?,abortion_parental_consent,abortion_position,1.0,high,binary,rule_mapped,abortion_reproductive,do you support requiring parental consent before an abortion is performed on a minor?,3.0.0,38948DCE663D8422,0FB9D2B107DF40A7,abortion_parental_consent,"[{""axis"":""abortion_access"",""pole"":""restrict"",""strength"":""primary"",""rationale"":""legacy deterministic rule""}]",[],binary,legacy_deterministic_migrated,1,True
2014.0,Abortion & Reproductive Issues:,,g) Do you support the prohibition of public funds for abortion procedures?,abortion_public_funding_prohibition,abortion_position,1.0,high,binary,rule_mapped,abortion_reproductive,do you support the prohibition of public funds for abortion procedures?,3.0.0,296F6762B11ACDC7,26BB362E509655D3,abortion_public_funding_prohibition,"[{""axis"":""abortion_access"",""pole"":""restrict"",""strength"":""primary"",""rationale"":""legacy deterministic rule""}]",[],binary,legacy_deterministic_migrated,1,True
2014.0,Abortion & Reproductive Issues:,,h) Do you support the prohibition of public funds for organizations that perform abortions?,abortion_public_funding_prohibition,abortion_position,1.0,high,binary,rule_mapped,abortion_reproductive,do you support the prohibition of public funds for organizations that perform abortions?,3.0.0,5EC3598D8BE0C818,30208FC93A6EF432,abortion_public_funding_prohibition,"[{""axis"":""abortion_access"",""pole"":""restrict"",""strength"":""primary"",""rationale"":""legacy deterministic rule""}]",[],binary,legacy_deterministic_migrated,1,True
2014.0,Abortion & Reproductive Issues:,,i) Other or expanded principles:,,,,,,unmapped,abortion_reproductive,other or expanded principles:,3.0.0,BAD2A085EC6460A7,CBEFFA1C8F71F0AA,,[],[],binary,unreviewed,0,False
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",a) Education (higher),spending_higher_education,education_position,-1.0,high,ordinal,rule_mapped,fiscal_tax_budget,education (higher),3.0.0,F7058E73CF029740,9F08989D23DA916A,spending_higher_education,"[{""axis"":""education_public_funding"",""pole"":""expand"",""strength"":""primary"",""rationale"":""legacy deterministic rule""}]",[],ordinal,legacy_deterministic_migrated,1,True
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",b) Education (K-12),spending_k12_education,education_position,-1.0,high,ordinal,rule_mapped,fiscal_tax_budget,education (k-12),3.0.0,CB5C89391812A95F,0E235D86CC96BF93,spending_k12_education,"[{""axis"":""education_public_funding"",""pole"":""expand"",""strength"":""primary"",""rationale"":""legacy deterministic rule""}]",[],ordinal,legacy_deterministic_migrated,1,True
