sha256,poll_ids,local_path,reason
09aab0e3d1d51bc384e7738f495e6be43e9e4eeaf83c9883635a7e3c1c5bebff,gen202youpmtm80jk|gen202youcq6fiamj,data\raw\polling\votehub_crosstabs\gen202youpmtm80jk_09aab0e3d1d5.pdf,No generic-vote crosstab page found
0cf42880f27cc9e406123fbc9c4c14b7480b6e0a9edaa76ecfa6fb3194e8a9d3,gen202youaopgshld|gen202youljd2lcjf,data\raw\polling\votehub_crosstabs\gen202youaopgshld_0cf42880f27c.pdf,No generic-vote crosstab page found
140a1673008849c50adccbbecf27c3b182ba2715a9dd5642a4fee2441e81ce2b,gen202youdt2jed2r|gen202youqy708wzr,data\raw\polling\votehub_crosstabs\gen202youdt2jed2r_140a16730088.pdf,'Education' is not in list; 'Education' is not in list
16baaf48148572d27248e74ca7ed80c7073f301850581b2d76d618e13579d463,gen202youc23q9p7i|gen202youop519jwx,data\raw\polling\votehub_crosstabs\gen202youc23q9p7i_16baaf481485.pdf,'Education' is not in list; 'Education' is not in list
26b40e36b09f91f3d99efcda02b1069c5a9769a748dea83864c13ed34675b5fb,gen202you8d2cimjg|gen202yougccmqau9,data\raw\polling\votehub_crosstabs\gen202yougccmqau9_26b40e36b09f.pdf,'Education' is not in list; 'Education' is not in list
28fca7e18a039e4ba5b062fd704d3d5542d9b73b90509673545d9c29af5704a5,gen202youf1935f54|gen202you4cb58744|gen202youc7574fda,data\raw\polling\votehub_crosstabs\gen202you4cb58744_28fca7e18a03.pdf,Linked page is not a generic congressional-vote table
35ae651deee122dad63c872463ba7f727559b2f31d36e591e45c1cb4eb4efd2a,gen202youxfka7cyz|gen202youfww7v041,data\raw\polling\votehub_crosstabs\gen202youxfka7cyz_35ae651deee1.pdf,'Education' is not in list; 'Education' is not in list
3db0e851872a3ee29c0cdee6d42a126076206fa117145076cd445433a466061f,gen202youvl63j6v6|gen202you5a7g4s2i,data\raw\polling\votehub_crosstabs\gen202youvl63j6v6_3db0e851872a.pdf,No generic-vote crosstab page found
3f2a882603d5207dbe18382cea7d2820f32f93dd4f2d984bfe234337b9ca19f9,gen202youn5v2en4c|gen202youo8x4q0vn,data\raw\polling\votehub_crosstabs\gen202youo8x4q0vn_3f2a882603d5.pdf,'Education' is not in list; 'Education' is not in list
46619044c88f0350d48202ed8f9b0af5b57d750ec93374990501da26e92282e4,gen202you3n4bs4qe,data\raw\polling\votehub_crosstabs\gen202you3n4bs4qe_46619044c88f.pdf,'Education' is not in list
49ebe3aca366b18ab0ceacce9f800c2f5b0ab24fe695bbd8fda66fc1e2800e5e,gen202you6gd1ztte|gen202your87uzbzs,data\raw\polling\votehub_crosstabs\gen202you6gd1ztte_49ebe3aca366.pdf,'Education' is not in list; 'Education' is not in list
4c5237995bd69d8e7df17dd25d7acca9946cb46faa29165341ada5f485d8465d,gen202youxm9gp3wb,data\raw\polling\votehub_crosstabs\gen202youxm9gp3wb_4c5237995bd6.pdf,'Education' is not in list; 'Education' is not in list
66c54709e3c0489197e2ea9d60869ae57a6c6dcd22bf32744a55774b638a85e9,gen202yout11p2aja|gen202youbujtr0mn,data\raw\polling\votehub_crosstabs\gen202youbujtr0mn_66c54709e3c0.pdf,'Education' is not in list; 'Education' is not in list
6f60b0a879b865561ba959aef0d3dd92d86bd48084901cd5d60b5ab3f72ba22f,gen202you3zywlqvj|gen202you3zqd80t3,data\raw\polling\votehub_crosstabs\gen202you3zywlqvj_6f60b0a879b8.pdf,'Education' is not in list; 'Education' is not in list
81407fa0161cae5f7689c5acc1dd58dfa47ee2b6ca2f6802677c27d42ceaf6cd,gen202youy9ls683f|gen202you07in5isq,data\raw\polling\votehub_crosstabs\gen202you07in5isq_81407fa0161c.pdf,'Education' is not in list; 'Education' is not in list
88970a7205701f787cb69bdea5780d66248080434e243d9cf8eb6234cb00fdd9,gen202you2p4uzn5h|gen202you999v1jo9,data\raw\polling\votehub_crosstabs\gen202you999v1jo9_88970a720570.pdf,'Education' is not in list; 'Education' is not in list
8c9a6960e39f3be568440b03051cff15975447fcfd003c61a0ccb819c1e3c448,gen202youkht853yu|gen202youtqbpl5wi,data\raw\polling\votehub_crosstabs\gen202youkht853yu_8c9a6960e39f.pdf,No generic-vote crosstab page found
9c2d97f75be39e05286e591ec65eca98bb2717a820a4fd312125a3f1b7119dc7,gen202youn7fgtk5t|gen202youo7qshven,data\raw\polling\votehub_crosstabs\gen202youn7fgtk5t_9c2d97f75be3.pdf,No generic-vote crosstab page found
9e5b774cb7444208dce8ad9e66b0073dbb3846c022cca63b9e6ea51e08dd9269,gen202youkoep0g85,data\raw\polling\votehub_crosstabs\gen202youkoep0g85_9e5b774cb744.pdf,No generic-vote crosstab page found
aa382374b407d80e097a1aba3c9575d0d4d1254a341b7526158a4ef5e8ab07b3,gen202yourt1gmu86|gen202youopwcmq60,data\raw\polling\votehub_crosstabs\gen202yourt1gmu86_aa382374b407.pdf,No generic-vote crosstab page found
