state,provider,portal_url,target_cycles,access_class,data_categories,expected_direct_files,acquired_files,acquired_bytes,acquisition_status,candidate_universe_names,candidate_universe_available,limitation
AL,Alabama Secretary of State FCPA,https://fcpa.alabamavotes.gov/page.request.do?page=page.acfPublicDownloadData,2016-2024,existing_upstream,contributions|in_kind|other_receipts|expenditures,0,0,0,existing_not_reacquired,324,1,
AR,Arkansas Secretary of State,https://ethics-disclosures.sos.arkansas.gov/public/cf/downloads,2016-2024,partial_bulk_api,contributions_and_loans|expenditures,6,6,180655825,partial_raw_bulk,465,1,Structured statewide CSV exports begin in filing year 2022; 2016-2021 legacy filings are PDF-only in the current portal.
DE,Delaware Department of Elections,https://elections.delaware.gov/candidates/campaignfinance/index.html,2016-2024,query_report_export,committees|reports|contributions|expenditures,0,0,0,adapter_required,0,0,No statewide bulk transaction dump is exposed.
FL,Florida Department of State Division of Elections,https://dos.elections.myflorida.com/campaign-finance/contributions/,2016-2024,partitioned_query_export,candidate_contributions|candidate_expenditures,0,1484,170227632,complete_raw_candidate_queries,856,1,State-legislative candidate exports must be partitioned because each form response is capped at the requested row limit.
GA,Georgia Government Transparency and Campaign Finance Commission,https://ethics.ga.gov/records-search-all/,2016-2024,hybrid_query_export,candidate_contributions|candidate_expenditures,0,1134,835145558,hybrid_query_provider_anomaly,902,1,Official records are split between the 2005-2021 legacy system and the 2022-2025 Record Search system; the latter is exported in monthly candidate partitions because its bulk endpoint currently returns HTTP 406 and annual transaction exports time out.
KY,Kentucky Registry of Election Finance,https://secure.kentucky.gov/kref/publicsearch/CandidateSearch/,2016-2024,query_export,candidate_receipts|candidate_expenses|contributions,0,0,0,adapter_required,581,1,Candidate and transaction exports require election/office queries.
LA,Louisiana Board of Ethics,https://ethics.la.gov/CampaignFinanceSearch/ShowPremadereports.aspx,2016-2024,direct_bulk,contributions|loans|expenditures,9,9,551754110,complete_raw_bulk,95,1,
MD,Maryland State Board of Elections MD CRIS,https://elections.maryland.gov/campaign_finance/,2016-2024,query_export,committees|reports|contributions|expenditures,0,0,0,adapter_required,0,0,MD CRIS does not expose an obvious statewide bulk archive.
MS,Mississippi Secretary of State,https://cfportal.sos.ms.gov/online/portal/cf/page/cf-search/Portal.aspx,2016-2024,query_export_partial,committees|reports|contributions|expenditures,0,0,0,adapter_required,263,1,Only electronically filed reports are fully transaction-searchable; paper filings remain documents.
MO,unconfigured,,2016-2024,unconfigured,,0,0,0,unconfigured,917,1,Missouri is in the Southern model universe but was absent from the supplied source list.
NC,North Carolina State Board of Elections,https://cf.ncsbe.gov/CFTxnLkup/AdvancedSearch/,2016-2024,form_query_export,candidate_receipts|candidate_expenditures,0,40,2606219544,complete_raw_candidate_queries,972,1,Official CSV exports are assembled by calendar year and N.C. House/Senate office code.
OK,Oklahoma Ethics Commission Guardian,https://guardian.ok.gov/PublicSite/DataDownload.aspx,2016-2024,direct_bulk,contributions_and_loans|expenditures,18,18,51150404,complete_raw_bulk,537,1,
SC,South Carolina State Ethics Commission,https://ethicsfiling.sc.gov/public/campaign-reports/contributions,2016-2024,annual_query_api,contributions|expenditures|reports,18,18,273470219,complete_raw_statewide_queries,567,1,Official statewide public transaction searches are captured as annual JSON responses; downstream adapters must restrict offices and resolve amendments.
TN,Tennessee Registry of Election Finance,https://apps.tn.gov/tncamp/public/cesearch.htm,2016-2024,form_query_export,candidate_contributions|candidate_expenditures,0,18,1542307,complete_raw_candidate_queries,542,1,Official candidate transaction CSVs are generated by report-year form queries.
TX,Texas Ethics Commission,https://www.ethics.state.tx.us/search/cf/,2016-2024,existing_upstream,campaign_finance_csv_database|annual_totals,0,0,0,existing_not_reacquired,933,1,
VA,Virginia Department of Elections,https://cfreports.elections.virginia.gov/,2016-2024,query_report_export,committees|reports|xml,0,0,0,adapter_required,575,1,Structured reports are committee-scoped; no statewide CSV dump is exposed.
WV,West Virginia Secretary of State,https://apps.sos.wv.gov/elections/candidate-search/previous.aspx,2016-2024,candidate_report_export,candidates|reports|raw_data,0,0,0,adapter_required,0,0,Historical finance is candidate/report scoped.
